,,,,,,,,,,,,,,,,,
 Customer Code , Billing Entity , Company Name , Division , Invoicing Type , Billing Currency , FirstName , LastName , Contact Name , Address , City , state , Country , Tax Number , Billing Start Date , Contract Date , Manager , Team Lead 
C-000327,VNC AU,FSD Pty Ltd,ANZA,Recurring,AUD,Tom,Gaden,Tom Gaden,ABN: 27 650 708 991,Docklands ,Victoria,Australia,27650708991,Jun-24,27-Jun-25,Aamir Shaikh,Krupali Joshi
C-000328,VNC AU,G.K HULL & C.P WALKER,ANZA,Recurring,AUD,Chris,Walker,Chris Walker,Unit 9 48 Carlton St FRESHWATER NSW 2096 AUSTRALIA ABN: 53 391 011 978,FRESHWATER,New South Wales,Australia,53391011978,Jun-24,26-Jun-25,Aamir Shaikh,Krupali Joshi
C-000497,VNC AU,Greenwood Leather,SCA,one Off,AUD,,,Faisal Nawaz,"2/3 Remount Way, Cranbourne West",Melbourne,Victoria ,Australia,,,,Aamir Shaikh,Ganesh Rathore
C-000477,VNC GL,Half Past Seven Home,SCA,Recurring,USD,,,Jen Burch,Ponte Vedra,Ponte Vedra,California,USA,,Nov-25,3-Nov-25,Aamir Shaikh,Aliakbar Vohra
C-000432,VNC AU,Happy Kat Pty Ltd,EFA,Recurring,AUD,Helen,Sykes,Helen Sykes,PO BOX 6962    NORWEST NSW 2153 Australia,Sydney,New South Wales,Australia,,Nov-24,,Rupali Parikh,Vinita Sharma
C-000433,VNC AU,Hunny Simply Pty Ltd,EFA,Recurring,AUD,Helen,Sykes,Helen Sykes,Unit 14 275 Annangrove Rd    ROUSE HILL NSW 2155 Australia,Sydney,New South Wales,Australia,19679968640,Nov-24,,Rupali Parikh,Vinita Sharma
C-000499,VNC AU,Industrial Brushware Pty Ltd ,SCA,one Off,AUD,,,Bill Kikos,"22 Law Court, Sunshine",Melbourne,Victoria,Australia,,Jun-26,29-Jun-26,Aamir Shaikh,0
C-000330,VNC AU,Janine Morcos,ANZA,Recurring,AUD,Janine,Morcos,,Unit 6 9 Hammond St THORNBURY VIC 3071 AUSTRALIA ABN: 66 747 962 788,,,Australia,66747962788,Jun-24,23-Jun-25,Aamir Shaikh,Krupali Joshi
C-000453,VNC AU,Jigsaw OOSH Bardia Pty Ltd,EFA,Recurring,AUD,Julie ,Karim,Alex Bechara,PO Box 8301,Sydney,New South Wales,Australia,,Apr-26,30-Mar-26,Rupali Parikh,Vinita Sharma
C-000455,VNC AU,Jigsaw OOSH Dural Pty Ltd,EFA,Recurring,AUD,Julie ,Karim,Alex Bechara,PO BOX 8301,Sydney,New South Wales,Australia,,Apr-26,30-Mar-26,Rupali Parikh,Vinita Sharma
C-000456,VNC AU,Jigsaw OOSH Galungara Pty Ltd,EFA,Recurring,AUD,Julie ,Karim,Alex Bechara,PO Box 8301,Sydney,New South Wales,Australia,,Apr-26,30-Mar-26,Rupali Parikh,Vinita Sharma
C-000457,VNC AU,Jigsaw OOSH Hambledon Pty Ltd,EFA,Recurring,AUD,Julie ,Karim,Alex Bechara,PO BOX 8301,Sydney,New South Wales,Australia,,Apr-26,30-Mar-26,Rupali Parikh,Vinita Sharma
C-000458,VNC AU,Jigsaw OOSH Melrose Park Pty Ltd,EFA,Recurring,AUD,Julie ,Karim,Alex Bechara,Po Box 8301,Sydney,New South Wales,Australia,,Apr-26,30-Mar-26,Rupali Parikh,Vinita Sharma
C-000077,VNC AU,Jigsaw OOSH Pty Ltd,EFA,Recurring,AUD,Ronald,Alexander,,"6.02/5 Celebration Dr, Bella Vista     NSW 2153 Australia",Bella Vista,New South Wales,Australia,51160855907,Feb-23,31-Mar-25,Rupali Parikh,Vinita Sharma
C-000459,VNC AU,Jigsaw OOSH Strathfield South Pty Ltd,EFA,Recurring,AUD,Julie ,Karim,Alex Bechara,PO BOX 8301,Sydney,New South Wales,Australia,,Apr-26,30-Mar-26,Rupali Parikh,Vinita Sharma
C-000460,VNC AU,Jigsaw OOSH Vardys Road Pty Ltd,EFA,Recurring,AUD,Julie ,Karim,Alex Bechara,PO Box 8301,Sydney,New South Wales,Australia,,Apr-26,30-Mar-26,Rupali Parikh,Vinita Sharma
C-000389,VNC AU,Jones Heavy Mechanical & Electrical Pty Ltd,ANZA,Recurring,AUD,Matthew,Jones,Matthew Jones,10 EILEEN ST    WALKERSTON QLD 4751 Australia,Walkerston,Queensland,Australia,73637582775,Nov-24,28-Jun-25,Aamir Shaikh,Krupali Joshi
C-000492,VNC AU,JR Integrated Services Group NSW Pty Ltd,ANZA,Recurring,AUD,Rav ,Sandher,Rav Sandher,"Unit 1 Level 1 123 Browns Plains Road, Browns Plains",Brisbane,Queensland,Australia,,,6-Apr-26,Aamir Shaikh,Krupali Joshi
C-000434,VNC AU,JR Security Services Australia,ANZA,Recurring,AUD,Ramanpreet,S Sandher,Ramanpreet S Sandher,"Level 1, 1/123 Browns Plains Road, Browns Plain 4118 QLD",Brisbane,Queensland,Australia,90618776266,Mar-25,6-Apr-26,Aamir Shaikh,Krupali Joshi
C-000079,VNC GL,Junkman LLC,EFA,Recurring,USD,,,Lou Pavelchik,719 E Lake Mead Pkwy,Henderson,Nevada,USA,,Feb-20,,Rupali Parikh,Rupali Parikh
C-000332,VNC AU,Liana LUCCA-POPE,ANZA,Recurring,AUD,,,Liana LUCCA-POPE,80 Paisley St FOOTSCRAY VIC 3011 AUSTRALIA ABN: 22 134 902 286,"FOOTSCRAY,",Victoria,Australia,22134902286,Jun-24,20-Jun-25,Aamir Shaikh,Krupali Joshi
C-000468,VNC IN,Locusnine Innovations Private Limited,EFA,Recurring,,,,,,,,INDIA,,,26-Sep-25,Rupali Parikh,Rupali Parikh
C-000490,VNC GL,Lumia Health,SCA,Recurring,USD,,,Paul Jin,"119 Braintree Street, Suite 301",Allston,Massachusetts,USA,,Mar-26,13-Mar-26,Aamir Shaikh,Aliakbar Vohra
C-000491,VNC AU,Lupemua Veamatahau trading as Call a cuzzie,ANZA,Recurring,AUD,Lupe Veamatahau,,Lupe Veamatahau,"11 Aronson Crescent, Gilmore",Canberra,Australian Capital Territory,Australia,27723972854,Apr-26,2-Apr-26,Aamir Shaikh,Krupali Joshi
C-000386,VNC AU,Mayhem Custom Fabrication Pty Ltd,ANZA,Recurring,AUD,Matthew,Howman,Matthew Howman,"Shop 5, 26 Endeavour Street",Mackay,Queensland,Australia,70832735975,Nov-24,2-Jul-25,Aamir Shaikh,Krupali Joshi
C-000092,VNC AU,Medigroup ( Australia ) Pty Ltd,SCA,Recurring,AUD,Finance,Team,,"1/530 Little Collins St, Melbourne, VIC 3000, Australia",,,Australia,84116264281,Nov-17,,Aamir Shaikh,Ganesh Rathore
C-000333,VNC AU,Northward Carpentry Pty Ltd,ANZA,Recurring,AUD,,,,ABN: 71 656 242 661,,,Australia,71656242661,Jun-24,1-Jul-25,Aamir Shaikh,Krupali Joshi
C-000104,VNC GL,Nsaaba LLC,SCA,Recurring,USD,,,Nana Quagraine,"137 Montague St,",Brooklyn,New York,USA,,Aug-18,22-May-25,Aamir Shaikh,Ganesh Rathore
C-000334,VNC AU,Off Scratch Pty Ltd - Gift Hotel,ANZA,Recurring,AUD,Adrian,Coyne,Adrian Coyne,13 Main St STAWELL VIC 3380 AUSTRALIA ABN: 85 635 226 069,Melbourne,Victoria,Australia,85635226069,Jun-24,23-Jun-25,Aamir Shaikh,Krupali Joshi
C-000483,VNC GL,OLA MATE,SCA,Recurring,USD,,,Anthony-John Scordio,229 East Market Street,Long Beach ,New York,USA,,Dec-25,5-Dec-25,Aamir Shaikh,Ganesh Rathore
C-000106,VNC AU,OPMC Australia Pty Ltd,EFA,Recurring,AUD,Chris,Bryant,Chris Bryant,"Suite 3, Level 1/35 Buckingham St, Surry Hills NSW 2010 Australia www.opmc.com.au(02) 9955 2237",Surry Hills,New South Wales,Australia,98608172943,Nov-16,26-Jun-23,Rupali Parikh,Vinita Sharma
C-000351,VNC GL,Out ‘n' About,SCA,Recurring,GBP,,,Frederik De Coninck-Smith,7 Caxton Rd,Bedford,England,UK,,Feb-25,25-Apr-25,Aamir Shaikh,Aliakbar Vohra
C-000493,VNC GL,Pokoloko,SCA,one Off,AUD,,,Case Bakker,339 Richmond Road,Ottawa,Ontario,CANADA,,May-26,11-May-26,Aamir Shaikh,Aliakbar Vohra
C-000320,VNC AU,Power House Retail Distribution Pty Ltd,EFA,Recurring,AUD,Helen,Sykes,Helen Sykes,Attention: 202 / 33 Lexington Drive NORWEST 2153,Norwest,New South Wales,Australia,31677367314,Jul-24,4-Jul-24,Rupali Parikh,Vinita Sharma
C-000423,VNC AU,Print Council of Australia,ANZA,Recurring,AUD,Akky,Van Ogtrop,Jade Kellett,Studio 2 Guild152 Sturt Street Southbank VIC 3006 Australia,Southbank,Victoria,Australia,52199195151,Dec-24,1-Jul-25,Aamir Shaikh,Krupali Joshi
C-000115,VNC GL,"Qwik Kit, LLC",EFA,Recurring,USD,,,Adam Franklin ,"15002 Sommermeyer St,",Houston,Texas,USA,,Mar-17,30-Sep-25,Rupali Parikh,Vinita Sharma
C-000428,VNC AU,RAJI FOODS (AUST) PTY LTD,ANZA,Recurring,,Chris,Bryant,,,,,Australia,88169690760,Sep-25,,Aamir Shaikh,Krupali Joshi
C-000336,VNC AU,Sabrini Foods Pty Ltd,ANZA,Recurring,AUD,Sabitha,Uvaraja,Sabitha Uvaraja,77 Boundary Road CARRUM DOWNS VICTORIA 3201 AUSTRALIA ABN: 31 083 441 687,Melbourne,Victoria,Australia,31083441687,Jun-24,23-Jun-25,Aamir Shaikh,Krupali Joshi
C-000337,VNC AU,Sally Mackinnon,ANZA,Recurring,AUD,Sally,McKinnon,Sally McKinnon,902/35 Spring St MELBOURNE VIC 3000 AU ABN: 14 217 971 174,Melbourne,Victoria,Australia,14217971174,Jun-24,24-Jun-25,Aamir Shaikh,Krupali Joshi
C-000127,VNC AU,Seva Business Services,EFA,Recurring,AUD,Tari,,Tari White,Tari White,ChristChurch,,New Zealand,87002560965,Feb-23,3-Oct-25,Rupali Parikh,Vinita Sharma
C-000466,VNC AU,Solis Pacific Recycling Limited,ANZA,Recurring,AUD,Hari ,Agarwal,Hari Agarwal,"20 Koromeke Street, Flat Bush",Auckland,North Island,New Zealand,,Oct-25,29-Sep-25,Aamir Shaikh,Krupali Joshi
C-000438,VNC GL,Squirro AG,SCA,Recurring,USD,,,Oliver Treyer,Squirro AG Muhlebachstrasse 70 CH - 8008,Zurich,Zurich,SWITZERLAND,,Mar-25,16-Jan-26,Aamir Shaikh,Vinita Sharma
C-000436,VNC AU,T & T MCNAUGHT ENTERPRISES P/L,EFA,Recurring,AUD,Omar,Elhariry,Tristram Mcnaught,"33 Bentley St, Wetherill Park",Sydney,New South Wales,Australia,,Nov-24,,Rupali Parikh,Vinita Sharma
C-000340,VNC AU,THE TRUSTEE FOR CHAMBERLAIN FAMILY TRUST,ANZA,Recurring,AUD,Dean,Chamberlain,Dean Chamberlain,28 Central Ave SUNSHINE VIC 3020 AUSTRALIA ABN: 33 284 312 042,Melbourne,Victoria,Australia,33284312042,Jun-24,26-Jun-25,Aamir Shaikh,Krupali Joshi
C-000341,VNC AU,The Trustee for Sato Family Trust,ANZA,Recurring,AUD,,,Janelle Sato,1a Dundalk St SUNSHINE VIC 3020 AUSTRALIA ABN: 61 820 954 140,Melbourne,Victoria,Australia,61820954140,Jun-24,9-Jul-25,Aamir Shaikh,Krupali Joshi
C-000152,VNC GL,Tillfield Ltd,SCA,Recurring,GBP,,,Shanil Shah,"Kanchan House, 2 Peall Road, Croydon",Surrey,,UK,,Jul-25,18-Jul-25,Aamir Shaikh,Aliakbar Vohra
C-000478,VNC AU,VIGILANT SECURITY OPERATIONS PTY. LTD,ANZA,Recurring,AUD,Jack, Newton,Jack Newton,"Moss Vale, New South Wales",Moss Vale,New South Wales,Australia,,Nov-25,13-Nov-25,Aamir Shaikh,Krupali Joshi
C-000496,VNC AU,Werko Australia,SCA,one Off,AUD,Cameron, Hochhauser,Cameron Hochhauser,"73 Bazalgette Cr, Dandenong South",Melbourne,Victoria,Australia,,May-26,21-May-26,Aamir Shaikh,Aamir Shaikh
C-000479,VNC GL,WESTERN MIXER LLC,SCA,Recurring,USD,,,,,,,,,Nov-25,,Aamir Shaikh,Ganesh Rathore
C-000166,VNC GL,Wisdom Analytics,EFA,Recurring,USD,,,Bart Flaherty,"01 Brush Hill Rd, Suite 335",New Fairfield,Connecticut,USA,,Nov-24,18-Feb-26,Rupali Parikh,Rupali Parikh
